# timestamp tx ty tz qx qy qz qw
1760656506.259756 86.855312 -100.963220 0.000000 0.000000 0.000000 0.959971 0.280099
1760656506.459756 86.487315 -100.661525 0.000000 0.000000 0.000000 0.959893 0.280368
1760656506.659766 86.126910 -100.367087 0.000000 0.000000 0.000000 0.959925 0.280258
1760656506.893095 85.765860 -100.089860 0.000000 0.000000 0.000000 0.960120 0.279588
1760656507.126428 85.406618 -99.810726 0.000000 0.000000 0.000000 0.960324 0.278888
1760656507.393082 85.042639 -99.537304 0.000000 0.000000 0.000000 0.960744 0.277437
1760656507.593095 85.041340 -99.536320 0.000000 0.000000 0.000000 0.961024 0.276467
1760656507.793101 84.649537 -99.240056 0.000000 0.000000 0.000000 0.961324 0.275418
1760656508.026426 84.257421 -98.987026 0.000000 0.000000 0.000000 0.962215 0.272290
1760656508.259752 83.872062 -98.730407 0.000000 0.000000 0.000000 0.962825 0.270126
1760656508.493101 83.480492 -98.508825 0.000000 0.000000 0.000000 0.964476 0.264171
1760656508.759745 83.090974 -98.282547 0.000000 0.000000 0.000000 0.965776 0.259376
1760656508.959761 83.089560 -98.281726 0.000000 0.000000 0.000000 0.966327 0.257317
1760656509.193089 82.684318 -98.021857 0.000000 0.000000 0.000000 0.966475 0.256762
1760656509.393094 82.276612 -97.798657 0.000000 0.000000 0.000000 0.967030 0.254664
1760656509.629514 81.876285 -97.580935 0.000000 0.000000 0.000000 0.967751 0.251908
1760656509.893107 81.482977 -97.354152 0.000000 0.000000 0.000000 0.968250 0.249983
1760656510.159770 81.082204 -97.132280 0.000000 0.000000 0.000000 0.968800 0.247846
1760656510.426421 80.678745 -96.905626 0.000000 0.000000 0.000000 0.969279 0.245962
1760656510.626423 80.677242 -96.904821 0.000000 0.000000 0.000000 0.969724 0.244202
1760656510.859755 80.244933 -96.661366 0.000000 0.000000 0.000000 0.969703 0.244286
1760656511.059764 79.821069 -96.420831 0.000000 0.000000 0.000000 0.969562 0.244844
1760656511.262497 79.407426 -96.187804 0.000000 0.000000 0.000000 0.969408 0.245455
